RBFOX1,"Muscular and feet abnormalities|Mental retardation|Epilepsy, rolandic  |Epilepsy|Developmental delay, facial dysmorphism  |Developmental delay and transposition of the great arteries|Developmental delay and diplegia|Developmental delay and craniosynostosis|Developmental delay  |Cardiac defects|Cardiac abnormalities, micrognathia and scoliosis|Bipolar disorder  |Autism spectrum disorder|Autism|Attention deficit hyperactivity disorder "
ABCA3,"Respiratory failure|Newborn respiratory distress syndrome|Pneumomediastinum|Pneumonia, neonatal interstitial|Pneumonitis, desquamative interstitial|Pulmonary alveolar proteinosis|Pulmonary alveolar proteinosis.|Pulmonary fibrosis  |Pulmonary hypertension|Reduced lung function/increased risk of COPD, association with.|Respiratory distress|Respiratory distress syndrome|Respiratory distress, neonatal |Neonatal respiratory distress syndrome|Neonatal respiratory distress / interstitial lung disease|Lung disease, interstitial.|ABCA3 deficiency|Cataract-microcornea syndrome|Cerebropulmonary dysgenetic syndrome|Chronic lung disease |Chronic respiratory insufficiency|Combined pulmonary fibrosis and emphysaema syndrome|Combined pulmonary fibrosis and emphysaema syndrome.|Fatal surfactant deficiency|Interstitial lung disease|Lung disease|Lung disease modifier association with SFTPC mutation|Lung disease, diffuse|Lung disease, interstitial"
AKAP13,"Autism spectrum disorder  |Breast cancer, association with "
GSS,Glutathione synthetase deficiency
BRF1,Cerebellar-facial-dental syndrome
ST7,"Global developmental delay, intractable seizures and brain atrophy"
EPB41L4A,"Spastic paraplegia, failure to thrive"
MATN4,"Global developmental delay, holoprosencephaly, microcephaly, lumbosacral myelomeningocele, epilepsy, proptosis and diabetes"
SEC24D,Disturbed ossification of the skull & multiple fractures|Intellectual disability and epilepsy
TUBA3E,"Global developmental delay, primary microcephaly, lissencephaly, epilepsy"
NUP107,"XX gonadal dysgenesis|Nephrotic syndrome, steroid resistant|Global developmental delay, light complexion, early onset focal segmental glomerulosclerosis"
MRI1,Infantile epilepsy with severe cystic degeneration of the brain
PAM16,Spondylodysplastic dysplasia
TSEN15,"Global developmental delay, epilepsy and primary microcephaly"
GSTA1,Altered promoter activity
PDPR,Joubert syndrome
SPDL1,"Primary microcephaly, severe"
PTPN23,"Global developmental delay, epilepsy and brain atrophy"
OSBPL5,"Miscarriage, recurrent"
YES1,"Miscarriage, recurrent"
NLRP10,"Miscarriage, recurrent"
GGA3,"Intraocular pressure, association with"
PKDREJ,"Intraocular pressure, association with"
GSTA2,"Reduced activity|Post-transplant serum bilirubin levels, association with"
MTBP,"Intraocular pressure, association with"
WNK2,"Intraocular pressure, association with"
TAF6,"Cornelia de Lange syndrome|Intellectual disability, syndromic  "
KLHL15,"Intellectual disability, facial asymmetry, cortical atrophy, seizures, hypergonadotropic hypogonadism, thyroid dysplasia|Intellectual disability  "
USP27X,Intellectual disability  
RLIM,"Intellectual disability, X-linked, syndromic|Intellectual disability  "
CDK16,Intellectual disability  
SNRPB,Cerebro-costo-mandibular syndrome
GRASP,"Asthma, increased risk, association with "
PTRH2,"Global developmental delay, hearing loss and ataxia|Infantile-onset multisystem neurologic, endocrine, and pancreatic disease"
GSTM1,"Nasopharyngeal cancer, association with.|Myelodysplasia, disease prorgression, association with.|Methamphetamine abuse, in females, association with|Lung cancer, association with.|Lower vitamin C levels, association with|Liver cirrhosis, protection against, association with|Leukopaenia, association with|Leprosy, protection against, associaton with.|Inflammatory bowel disease, protection against, association with|Oesophageal atresia, association with|Oesophageal cancer, association with|Prostate cancer, increased risk|Triglyceride and HDL-cholesterol levels, association with|Toxicity, after autologous blood and marrow transplant, association with|Thyroid carcinoma|Temporomandibular disorder, association with|Stomach cancer, susceptibility to|Schizophrenia, association with|Reduced gene expression, association with|Prostate cancer, smoking related, association with|Ultrarapid enzyme activity|Hypertension, association with|Breast cancer, reduced risk, association with|Bladder cancer, smoking induced, susceptibility to|Bladder cancer, increased risk|Bladder cancer, association with|Autism|Atopic dermatitis, association with|Asthma, reduced risk, association with|Asthma risk|Acute leukaemia, association with.|Cancer, association with.|Cataract, susceptibility to|Hepatocellular carcinoma, association with|Head and neck cancer, association with|Glaucoma, open angle, association with|Epithelial ovarian cancer, association with|Endometriosis, association with|Early-onset bipolar disorder, decreased risk, association with |Chromosomal damage in coke oven workers|Childhood acute leukaemia, association with.|Cervical lesions, early-stage, association with."
ARV1,Neurodegenrative disease with blindness
FAM120AOS,"Coarse facial features, scoliosis, pectus excavatum, skin laxity, hypotonia, GERD, hyperactive airways, undescended testes"
XIRP1,Primary microcephaly
KCTD3,"Severe psychomotor retardation, seizure, and cerebellar hypoplasia"
FAM177A1,"Macrocephaly, intellectual disability, dolichocephaly and mild obesity"
CHAF1B,"Global developmental delay, intellectual disability and ADHD"
MTSS1L,"Microcephaly, global developmental delay, intellectual disability, hypotonia, iron deposition in globus pallidus bilaterally"
