TAP1,11,"4099989,4101848,4102293,4102699,4103432,4103770,4105098,4105722,4106889,4107168,4107819,","4100566,4101985,4102456,4102873,4103621,4103899,4105296,4105928,4107020,4107283,4108752,",
IL6,5,"22766765,22767062,22768311,22769132,22771024,","22766900,22767253,22768425,22769279,22771621,",
PRSS38,5,"228003417,228003790,228004909,228033170,228033654,","228003565,228003953,228005181,228033313,228034171,",
BCKDHB,10,"80816343,80837263,80838877,80877394,80878591,80880998,80910650,80912818,80982851,81053380,","80816606,80837341,80838946,80877528,80878747,80881107,80910748,80912929,80982938,81055987,",
PRKACB,10,"84609930,84644859,84647882,84649719,84650782,84662298,84663411,84668365,84679835,84700862,","84610231,84644921,84648011,84649818,84650865,84662425,84663507,84668488,84680000,84704181,",
VWF,52,"6058039,6058951,6061009,6061556,6062661,6076651,6077292,6078376,6080764,6085276,6090951,6092315,6094210,6094728,6100984,6103027,6103580,6105167,6120782,6121252,6122646,6125254,6125681,6125919,6127530,6131065,6131905,6132796,6134745,6135071,6138507,6140609,6143853,6145553,6153456,6155888,6161708,6166022,6167014,6172119,6173411,6174302,6180462,6181496,6182784,6184500,6204625,6219539,6220031,6230339,6232307,6233586,","6058369,6059049,6061049,6061685,6062760,6076768,6077333,6078557,6080875,6085426,6091157,6092420,6094285,6094831,6101184,6103369,6103773,6105388,6120960,6121296,6122811,6125398,6125822,6126036,6128909,6131201,6132064,6132953,6134859,6135212,6138654,6140744,6143992,6145657,6153617,6155983,6161949,6166238,6167210,6172220,6173550,6174439,6180509,6181608,6182907,6184717,6204750,6219748,6220134,6230504,6232362,6233836,",
ENO3,12,"4854383,4855122,4856089,4856345,4856566,4857006,4858369,4858701,4859236,4859867,4860125,4860272,","4854477,4855209,4856185,4856404,4856636,4857140,4858592,4858899,4859438,4859976,4860184,4860426,",
CD58,6,"117057155,117061852,117064527,117078586,117086932,117113524,","117057444,117061889,117064605,117078850,117087226,117113715,",
PGAP2,6,"3829765,3832479,3845112,3845499,3846249,3846557,","3829881,3832654,3845365,3845606,3846358,3847601,",
GABRR3,10,"97705526,97711695,97720458,97726607,97727799,97731187,97736498,97744410,97753706,97754033,","97705826,97711892,97720611,97726748,97727882,97731411,97736566,97744523,97753833,97754148,",
TRIOBP,24,"38092994,38093594,38097312,38106433,38109216,38111769,38119191,38129304,38130405,38134648,38136901,38147778,38150883,38151107,38151556,38153619,38155160,38161676,38164080,38165034,38165268,38167656,38168607,38169789,","38093096,38093703,38097486,38106573,38109418,38111941,38122510,38129419,38131449,38134726,38137039,38147835,38150991,38151197,38151666,38154145,38155271,38161824,38164183,38165194,38165382,38167743,38168771,38172563,",
COA6,3,"234509428,234509975,234519468,","234509586,234510135,234519795,",
SATL1,5,"84347291,84349133,84349921,84358869,84362333,","84347567,84349235,84350002,84358921,84363974,",
